Название статьи,Время,Просмотры,Тэги
ЦИК Грузии сообщил о вмешательстве в работу комиссий на выборах в парламент,12:21,0,"['В мире', 'Грузия', 'Зугдиди', 'Общество', 'Политика']"
Лукашенко опроверг заявления о гражданах КНДР на Украине,12:18,0,"['В мире', 'Украина', 'Александр Лукашенко']"
Лукашенко поддерживает подключение Китая к урегулированию на Украине,12:15,60,"['В мире', 'Китай', 'Украина', 'Бразилия', 'Александр Лукашенко']"
"Лукашенко прокомментировал ""план победы"" Зеленского",12:14,439,"['В мире', 'Украина', 'Белоруссия', 'Александр Лукашенко', 'Владимир Зеленский']"
"Трамп рассказал, что не отдыхал уже два месяца",12:12,69,"['В мире', 'США', 'Дональд Трамп', 'Камала Харрис', 'Джо Роган']"
В Великобритании сделали неожиданное заявление о России,12:11,1048,"['В мире', 'Россия', 'Казань', 'Великобритания', 'БРИКС', 'Саммит БРИКС в Казани в 2024 году', 'Политика']"
"Премьер Грузии заявил, что выборы проходят спокойно",12:11,94,"['В мире', 'Грузия', 'Россия', 'Ираклий Кобахидзе']"
"Лукашенко уверен, что выборы в Белоруссии пройдут хорошо",12:08,224,"['В мире', 'Белоруссия', 'Александр Лукашенко']"
МИД Ирана прокомментировал атаку Израиля,12:06,1407,"['В мире', 'Иран', 'Израиль', 'ООН']"
Трамп призвал Харрис пройти тест на IQ,12:00,408,"['В мире', 'США', 'Дональд Трамп', 'Джо Роган', 'Камала Харрис']"
"Украине дадут кредит, чтобы Зеленский ""не вякал"" про ЯО, заявила Захарова",11:56,1413,"['В мире', 'Россия', 'Киев', 'Украина', 'Владимир Зеленский', 'Мария Захарова', 'Сергей Лавров', 'Евросоюз', 'Еврокомиссия', 'G7']"
В Иране при атаке Израиля погибли двое военных,11:34,1833,"['В мире', 'Иран', 'Израиль']"
"СМИ: Иран проинформировал Израиль, что не будет отвечать на его удары",11:33,6174,"['В мире', 'Иран', 'Израиль']"
"Трамп рассказал, как нужно работать в политике",11:23,730,"['В мире', 'США', 'Дональд Трамп', 'Джо Роган']"
"""Грузинская мечта"" заявила, что примет любые итоги выборов",11:15,1157,"['В мире', 'Грузия']"
В пяти областях Украины объявили воздушную тревогу,11:14,438,"['В мире', 'Киев', 'Украина', 'Киевская область']"
Группа по выдвижению Лукашенко подала документы о регистрации в ЦИК,11:09,809,"['В мире', 'Белоруссия', 'Александр Лукашенко']"
"На Западе раскрыли, что произошло с Зеленским из-за краха ВСУ",11:03,9891,"['В мире', 'Украина', 'Россия', 'США', 'Владимир Зеленский', 'Вооруженные силы Украины', 'НАТО', 'Политика']"
СМИ: Франция и ФРГ выступили против обхода вето Венгрии на помощь Украине,10:48,9302,"['В мире', 'Украина', 'Венгрия', 'Франция', 'Жозеп Боррель', 'Виктор Орбан', 'Эммануэль Макрон', 'Евросоюз', 'НАТО']"
На севере Испании обрушилось здание,10:45,1714,"['В мире', 'Сантандер', 'Испания']"
